ACTUAL	CHEFLIEU	CDC	RANG	REG	DEP	COM	AR	CT	MODIF	POLE	TNCC	ARTMAJ	NCC	ARTMIN	NCCENR	ARTICLCT	NCCCT	MOD	MANIP
3				82	01	048			1	01245	0		BOHAS		Bohas			35	M
1	0	0		82	01	077	4	24	1		0		CHALLES-LA-MONTAGNE		Challes-la-Montagne		Poncin	10	M
1	0	0		82	01	170	4	22	1		0		BEARD-GEOVREISSIAT		Béard-Géovreissiat		Nantua	10	M
1	0	0		82	01	186	1	28	1		1		HOSTIAZ		Hostiaz		Saint-Rambert-en-Bugey	10	M
1	0	0		82	01	245	2	07	1		0		BOHAS-MEYRIAT-RIGNAT		Bohas-Meyriat-Rignat		Ceyzériat	36	M
1	1	0		22	02	163	1	07	1		0		CHARLY-SUR-MARNE		Charly-sur-Marne		Charly-sur-Marne	10	M
1	0	0		22	02	224	4	04	1		0		COURCELLES-SUR-VESLE		Courcelles-sur-Vesle		Braine	10	M
1	0	0		22	02	240	3	03	1		0		CROIX-FONSOMME		Croix-Fonsomme		Bohain-en-Vermandois	10	M
1	0	0		22	02	319	3	39	1		0		FONSOMME		Fonsomme		Saint-Quentin-Nord	10	M
1	0	0		22	02	419	5	23	1		0		LESCHELLE		Leschelle	(Le)	Nouvion-en-Thiérache	10	M
1	0	0		93	04	040	3	31	1		2	(LE)	CASTELLARD-MELAN	(Le)	Castellard-Mélan		Digne-les-Bains-Ouest	10	M
1	0	0		93	04	040	3	31	1		2	(LE)	CASTELLARD-MELAN	(Le)	Castellard-Mélan		Digne-les-Bains-Ouest	36	M
3				93	04	117			1	04040	0		MELAN		Melan			35	M
1	0	0		93	04	176	3	21	1		0		SAINTE-CROIX-DU-VERDON		Sainte-Croix-du-Verdon		Riez	10	M
1	0	0		93	05	014	2	16	1		0		BARRET-SUR-MEOUGE		Barret-sur-Méouge		Ribiers	10	M
1	0	0		93	06	114	2	43	1		0		SAINT-ANDRE-DE-LA-ROCHE		Saint-André-de-la-Roche		Nice 13e  Canton	10	M
1	0	0		93	06	128	1	45	1		0		SAINT-PAUL-DE-VENCE		Saint-Paul-de-Vence		Cagnes-sur-Mer-Ouest	10	M
1	0	0		82	07	002	1	03	1		1		AILHON		Ailhon		Aubenas	42	M
1	0	0		82	07	003	1	02	1		1		AIZAC		Aizac		Antraigues-sur-Volane	42	M
1	0	0		82	07	006	2	20	1		1		ALBON-D'ARDECHE		Albon-d'Ardèche		Saint-Pierreville	10	M
1	1	0		82	07	011	1	02	1		1		ANTRAIGUES-SUR-VOLANE		Antraigues-sur-Volane		Antraigues-sur-Volane	42	M
1	0	0		82	07	016	1	02	1		1		ASPERJOC		Asperjoc		Antraigues-sur-Volane	42	M
1	1	0		82	07	019	1	03	1		1		AUBENAS		Aubenas		Aubenas	42	M
